Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Columbus,Weekly,"2025-02-02 00:00:00",Conventional,1.237694222,301760.57,155189.20,61520.99,209.80,84840.59,,,
"Dallas/Ft. Worth",Weekly,"2025-02-23 00:00:00",Conventional,1.083645644,1405516.49,772278.31,149800.39,953.25,482484.55,,,
"Dallas/Ft. Worth",Weekly,"2025-02-16 00:00:00",Conventional,1.053521633,1452534.49,842297.96,148943.58,6002.37,455290.59,,,
"Dallas/Ft. Worth",Weekly,"2025-02-09 00:00:00",Conventional,0.949677385,1837427.00,1039113.20,192788.18,815.10,604710.51,,,
"Dallas/Ft. Worth",Weekly,"2025-02-02 00:00:00",Conventional,0.999398517,1591596.36,892280.63,205691.30,1703.72,491920.73,,,
Denver,Weekly,"2025-02-23 00:00:00",Conventional,1.304043896,924276.43,465396.53,174200.19,1896.06,282783.65,,,
Denver,Weekly,"2025-02-16 00:00:00",Conventional,1.308663922,920541.02,445065.57,219905.69,2002.72,253567.03,,,
Denver,Weekly,"2025-02-09 00:00:00",Conventional,1.289038061,1292942.16,574373.72,382113.64,3209.05,333245.75,,,
Denver,Weekly,"2025-02-02 00:00:00",Conventional,1.398433744,1033298.46,453428.06,311511.48,1620.32,266738.59,,,
Detroit,Weekly,"2025-02-23 00:00:00",Conventional,1.043394873,629030.18,185876.74,76765.23,1800.88,364587.33,,,
Detroit,Weekly,"2025-02-16 00:00:00",Conventional,1.212331933,513640.49,258294.06,104320.24,2140.10,148886.09,,,
Detroit,Weekly,"2025-02-09 00:00:00",Conventional,1.107647134,681126.34,350490.57,176835.26,6291.48,147509.03,,,
Detroit,Weekly,"2025-02-02 00:00:00",Conventional,1.317712302,481861.22,224603.56,84778.75,2173.51,170305.39,,,
"Grand Rapids",Weekly,"2025-02-23 00:00:00",Conventional,0.891177574,375284.04,50809.27,50440.85,2622.18,271411.73,,,
"Grand Rapids",Weekly,"2025-02-16 00:00:00",Conventional,1.424764835,200493.05,57715.16,55100.56,2742.82,84934.51,,,
"Grand Rapids",Weekly,"2025-02-09 00:00:00",Conventional,1.211662449,329179.24,64165.68,147361.74,8255.49,109396.33,,,
"Grand Rapids",Weekly,"2025-02-02 00:00:00",Conventional,1.221222061,234365.59,66577.88,52503.69,2483.73,112800.29,,,
Harrisburg/Scranton,Weekly,"2025-02-23 00:00:00",Conventional,1.171653031,500471.03,241774.67,52549.48,886.37,205260.51,,,
Harrisburg/Scranton,Weekly,"2025-02-16 00:00:00",Conventional,1.167663243,557269.68,293221.09,61021.70,1098.24,201928.65,,,
Harrisburg/Scranton,Weekly,"2025-02-09 00:00:00",Conventional,1.176289288,620522.69,319991.27,74186.05,1854.12,224491.25,,,
Harrisburg/Scranton,Weekly,"2025-02-02 00:00:00",Conventional,1.184123100,499997.21,225561.88,59253.14,716.71,214465.48,,,
Hartford/Springfield,Weekly,"2025-02-23 00:00:00",Conventional,1.250699621,424896.92,160459.07,126638.85,594.80,137204.21,,,
Hartford/Springfield,Weekly,"2025-02-16 00:00:00",Conventional,1.010695605,528686.13,225464.85,171562.17,783.37,130875.74,,,
Hartford/Springfield,Weekly,"2025-02-09 00:00:00",Conventional,1.084796420,596556.14,230385.94,215645.61,1253.98,149270.62,,,
Hartford/Springfield,Weekly,"2025-02-02 00:00:00",Conventional,1.085862666,487841.81,185664.97,160866.30,470.46,140840.07,,,
Houston,Weekly,"2025-02-23 00:00:00",Conventional,1.094244243,943257.70,533052.89,127206.54,799.07,282199.19,,,
Houston,Weekly,"2025-02-16 00:00:00",Conventional,1.021075360,1048083.17,684512.74,120226.80,1505.69,241837.94,,,
Houston,Weekly,"2025-02-09 00:00:00",Conventional,0.946764140,1328877.99,852404.05,174000.77,549.38,301923.79,,,
Houston,Weekly,"2025-02-02 00:00:00",Conventional,0.999682122,1112691.23,693068.63,145207.95,1052.58,273362.07,,,
Indianapolis,Weekly,"2025-02-23 00:00:00",Conventional,1.181668171,352001.59,157934.18,45741.03,338.52,147987.87,,,
Indianapolis,Weekly,"2025-02-16 00:00:00",Conventional,1.179209203,300475.82,187356.59,33295.79,345.24,79478.20,,,
Indianapolis,Weekly,"2025-02-09 00:00:00",Conventional,1.122748428,381997.54,232784.94,60916.81,603.49,87692.30,,,
Indianapolis,Weekly,"2025-02-02 00:00:00",Conventional,1.218959531,313640.64,162464.07,55126.47,439.30,95610.80,,,
Jacksonville,Weekly,"2025-02-23 00:00:00",Conventional,1.129473323,308995.40,182101.34,2465.32,701.00,123727.74,,,
Jacksonville,Weekly,"2025-02-16 00:00:00",Conventional,1.146836947,300451.32,192568.47,4614.24,710.18,102558.43,,,
Jacksonville,Weekly,"2025-02-09 00:00:00",Conventional,1.065487340,397599.29,285419.56,4867.03,813.88,106498.81,,,
Jacksonville,Weekly,"2025-02-02 00:00:00",Conventional,1.221704490,306015.38,189067.55,5638.05,476.60,110833.19,,,
"Las Vegas",Weekly,"2025-02-23 00:00:00",Conventional,1.252392681,411684.85,221742.51,46807.04,6382.05,136753.25,,,
"Las Vegas",Weekly,"2025-02-16 00:00:00",Conventional,1.293239601,388224.73,199819.45,72148.70,6354.05,109902.54,,,
"Las Vegas",Weekly,"2025-02-09 00:00:00",Conventional,1.235127149,532848.62,295887.98,108669.84,8595.79,119695.01,,,
"Las Vegas",Weekly,"2025-02-02 00:00:00",Conventional,1.090347357,459274.86,283524.20,39960.01,7495.01,128295.63,,,
"Los Angeles",Weekly,"2025-02-23 00:00:00",Conventional,1.273928607,3028302.68,1934000.50,109309.27,220998.37,763994.54,,,
"Los Angeles",Weekly,"2025-02-16 00:00:00",Conventional,1.258989911,3037625.04,1864520.29,94612.18,258382.24,820110.33,,,
"Los Angeles",Weekly,"2025-02-09 00:00:00",Conventional,1.175834721,4036469.45,2672595.93,196173.31,328850.32,838849.89,,,
"Los Angeles",Weekly,"2025-02-02 00:00:00",Conventional,1.407627834,3031944.45,1829976.21,118760.83,271694.65,811512.76,,,
Louisville,Weekly,"2025-02-23 00:00:00",Conventional,1.310074383,168980.96,76807.14,24934.84,129.37,67109.61,,,
Louisville,Weekly,"2025-02-16 00:00:00",Conventional,1.142993940,166474.60,108585.86,16031.38,120.07,41737.30,,,
Louisville,Weekly,"2025-02-09 00:00:00",Conventional,1.118695578,200607.95,122700.43,29070.80,210.56,48626.17,,,
Louisville,Weekly,"2025-02-02 00:00:00",Conventional,1.245176951,169126.66,94703.92,26224.75,157.79,48040.19,,,
